0,1,2,3,4,Class
763,240,356,175,230,0
938,165,305,205,151,0
824,277,313,166,184,0
422,424,522,49,347,0
1293,75,134,187,75,0
616,281,484,127,256,0
738,240,375,186,225,0
777,171,338,220,258,0
971,126,335,202,130,0
787,165,391,196,225,0
451,399,574,65,275,0
748,253,340,172,251,0
834,201,378,173,178,0
793,219,378,150,224,0
824,227,333,202,178,0
348,375,629,56,356,0
691,148,511,217,197,0
888,208,302,192,174,0
785,233,363,148,235,0
720,286,352,153,253,0
853,250,296,183,182,0
587,303,463,118,293,0
680,240,473,178,193,0
642,393,426,81,222,0
476,301,540,103,344,0
1051,139,250,145,179,0
584,332,447,105,296,0
754,176,421,180,233,0
280,391,654,51,388,0
650,235,450,182,247,0
768,200,422,182,192,0
898,194,296,200,176,0
921,132,346,242,123,0
628,373,420,103,240,0
805,242,379,160,178,0
387,324,544,91,418,0
898,170,298,240,158,0
1341,70,158,119,76,0
494,332,459,93,386,0
432,399,524,87,322,0
805,242,363,141,213,0
978,127,281,250,128,0
1365,67,126,151,55,0
628,285,430,146,275,0
687,275,409,153,240,0
1224,57,199,186,98,0
711,333,393,111,216,0
515,310,540,97,302,0
643,270,447,153,251,0
620,260,484,169,231,0
671,428,369,54,242,0
722,315,382,113,232,0
1063,139,214,230,118,0
698,295,395,109,267,0
884,159,334,248,139,0
1313,62,147,155,87,0
439,356,520,86,363,0
641,319,391,93,320,0
560,270,511,155,268,0
821,210,329,206,198,0
672,381,382,91,238,0
365,403,524,48,424,0
789,210,336,207,222,0
771,160,399,226,208,0
675,376,420,111,182,0
644,357,419,109,235,0
730,317,361,129,227,0
410,427,515,44,368,0
489,230,553,134,358,0
701,304,379,132,248,0
512,349,477,70,356,0
680,335,372,116,261,0
495,338,534,100,297,0
693,258,409,154,250,0
208,409,572,25,550,0
571,301,504,129,259,0
770,205,378,204,207,0
522,334,455,104,349,0
640,287,473,133,231,0
573,365,430,107,289,0
819,195,372,147,231,0
831,225,353,152,203,0
367,301,631,116,349,0
754,264,275,130,341,0
675,163,492,193,241,0
442,279,560,138,345,0
572,299,465,128,300,0
707,261,392,132,272,0
985,124,283,264,108,0
302,452,514,23,473,0
665,292,418,150,239,0
747,236,387,180,214,0
454,400,527,74,309,0
263,433,608,35,425,0
755,173,386,224,226,0
1041,93,257,212,161,0
753,311,371,129,200,0
438,444,515,40,327,0
632,244,528,142,218,0
627,247,502,172,216,0
581,310,472,138,263,0
790,239,360,184,191,0
699,322,390,91,262,0
617,313,440,128,266,0
958,78,299,319,110,0
698,165,461,222,218,0
1124,187,214,95,144,0
628,315,471,108,242,0
658,421,321,87,277,0
808,196,367,191,202,0
770,231,335,194,234,0
828,175,369,204,188,0
542,398,446,68,310,0
619,286,469,145,245,0
563,274,478,163,286,0
560,362,473,113,256,0
570,398,444,93,259,0
563,279,497,147,278,0
596,311,453,125,279,0
849,151,302,259,203,0
441,358,490,75,400,0
667,407,405,78,207,0
689,303,395,136,241,0
392,448,535,42,347,0
731,129,489,193,222,0
732,196,446,210,180,0
482,344,539,107,292,0
601,208,512,166,277,0
893,154,280,242,195,0
663,315,451,131,204,0
507,356,505,98,298,0
892,243,295,112,222,0
987,164,252,225,136,0
661,325,386,94,298,0
664,299,438,152,211,0
645,362,420,101,236,0
297,338,626,81,422,0
625,272,477,148,242,0
535,364,483,75,307,0
736,280,361,151,236,0
843,284,296,164,177,0
747,225,384,197,211,0
739,226,417,162,220,0
591,325,457,121,270,0
752,261,378,125,248,0
758,205,431,160,210,0
768,194,410,197,195,0
709,218,426,196,215,0
1174,96,206,172,116,0
628,296,447,128,265,0
507,292,473,99,393,0
421,399,523,93,328,0
858,155,384,217,150,0
452,379,520,98,315,0
532,338,513,120,261,0
672,303,443,146,200,0
690,273,405,152,244,0
766,155,412,188,243,0
493,340,543,104,284,0
844,223,370,191,136,0
758,231,395,178,202,0
518,337,524,104,281,0
603,353,435,102,271,0
721,272,385,144,242,0
589,335,444,104,292,0
861,156,387,187,173,0
611,428,382,62,281,0
615,258,485,159,247,0
637,285,437,128,277,0
488,308,559,111,298,0
1396,107,131,86,44,0
601,255,515,132,261,0
526,339,477,84,338,0
744,234,406,162,218,0
815,234,336,168,211,0
875,181,374,192,142,0
718,113,471,222,240,0
553,351,470,107,283,0
671,340,399,121,233,0
637,302,410,114,301,0
848,284,243,140,249,0
878,94,384,249,159,0
349,447,521,46,401,0
1351,63,129,171,50,0
588,318,456,119,283,0
564,337,458,101,304,0
875,211,302,194,182,0
300,370,604,51,439,0
675,319,440,129,201,0
607,393,404,85,275,0
732,266,423,117,226,0
805,254,376,149,180,0
719,277,384,139,245,0
922,143,298,218,183,0
456,317,478,83,430,0
766,237,410,133,218,0
880,85,404,204,191,0
770,335,335,125,199,0
522,347,483,99,313,0
685,275,442,140,222,0
530,287,501,112,334,0
799,274,326,99,266,0
701,330,379,122,232,0
815,292,326,163,168,0
655,348,396,107,258,0
1350,78,122,134,80,0
674,373,390,106,221,0
673,250,451,166,224,0
182,467,630,17,468,0
788,275,351,127,223,0
741,254,379,149,241,0
