0,1,2,3,4,Class
726,276,382,154,226,2
407,425,508,57,367,2
253,459,623,30,399,2
503,309,443,133,376,2
537,334,441,129,323,2
862,173,333,196,200,2
496,331,524,97,316,2
228,432,613,36,455,2
482,311,540,113,318,2
533,313,501,97,320,2
300,386,572,61,445,2
845,200,307,195,217,2
315,409,539,79,422,2
759,266,388,130,221,2
876,223,342,136,187,2
731,264,398,141,230,2
792,207,420,156,189,2
792,196,425,186,165,2
889,243,293,130,209,2
942,138,306,226,152,2
329,320,566,68,481,2
570,248,390,166,390,2
433,439,507,34,351,2
215,467,672,31,379,2
817,259,293,187,208,2
1302,81,186,122,73,2
1014,114,265,201,170,2
1011,111,290,220,132,2
580,312,473,128,271,2
827,217,385,151,184,2
848,266,316,156,178,2
601,254,527,125,257,2
939,111,334,227,153,2
827,235,356,152,194,2
962,171,247,255,129,2
799,164,415,172,214,2
133,382,561,25,663,2
806,192,364,182,220,2
750,302,352,140,220,2
931,126,315,235,157,2
953,113,298,243,157,2
775,216,376,146,251,2
652,307,445,122,238,2
778,218,345,227,196,2
635,206,494,191,238,2
283,384,592,48,457,2
923,181,306,194,160,2
117,387,579,7,674,2
469,347,530,83,335,2
629,332,419,102,282,2
445,415,501,47,356,2
454,385,525,96,304,2
838,193,344,211,178,2
1185,98,203,146,132,2
678,224,461,176,225,2
613,411,420,77,243,2
633,217,458,142,314,2
455,289,555,104,361,2
929,133,337,207,158,2
881,162,337,220,164,2
820,188,356,211,189,2
884,183,327,189,181,2
686,256,385,181,256,2
536,295,517,133,283,2
225,446,600,36,457,2
816,237,309,194,208,2
978,206,253,192,135,2
347,394,525,53,445,2
113,470,653,17,511,2
496,222,580,147,319,2
654,190,506,205,209,2
147,466,608,12,531,2
666,241,441,148,268,2
551,323,460,126,304,2
1066,99,258,221,120,2
805,197,365,184,213,2
855,242,325,157,185,2
834,206,314,221,189,2
888,239,249,195,193,2
606,356,435,97,270,2
554,301,452,127,330,2
596,291,480,148,249,2
422,391,520,56,375,2
560,283,461,132,328,2
835,233,344,160,192,2
822,245,351,152,194,2
993,167,272,172,160,2
261,395,658,53,397,2
617,341,397,102,307,2
968,178,287,182,149,2
523,316,468,119,338,2
932,118,294,299,121,2
845,206,345,161,207,2
767,215,433,161,188,2
916,126,339,227,156,2
1462,59,118,78,47,2
396,455,503,47,363,2
531,482,412,38,301,2
829,174,381,208,172,2
718,290,389,148,219,2
884,154,354,201,171,2
981,145,291,221,126,2
725,288,352,147,252,2
749,178,448,210,179,2
644,238,432,148,302,2
581,395,437,79,272,2
846,141,381,229,167,2
761,248,379,171,205,2
630,304,481,125,224,2
916,122,348,226,152,2
497,328,512,106,321,2
732,242,431,132,227,2
878,100,426,241,119,2
486,321,543,82,332,2
595,363,436,101,269,2
1070,122,226,207,139,2
827,189,357,185,206,2
367,338,603,81,375,2
827,154,378,225,180,2
475,398,477,62,352,2
733,216,456,151,208,2
497,398,534,70,265,2
588,470,376,42,288,2
923,151,306,222,162,2
1049,128,269,190,128,2
723,232,461,149,199,2
887,173,363,205,136,2
716,325,358,145,220,2
852,191,337,190,194,2
919,119,339,270,117,2
774,233,371,180,206,2
878,207,302,192,185,2
576,350,457,98,283,2
215,420,648,34,447,2
933,119,325,254,133,2
841,206,330,193,194,2
405,433,548,49,329,2
497,355,483,100,329,2
1021,130,302,145,166,2
955,142,317,204,146,2
999,71,346,223,125,2
460,298,557,96,353,2
849,163,341,214,197,2
886,159,358,167,194,2
449,412,563,60,280,2
651,345,403,116,249,2
993,93,322,243,113,2
821,236,329,158,220,2
