0,1,2,3,4,Class
607,335,413,114,295,1
962,178,243,249,132,1
922,135,363,200,144,1
419,394,515,56,380,1
699,301,364,145,255,1
447,350,523,79,365,1
588,325,467,122,262,1
432,402,560,52,318,1
712,252,402,174,224,1
770,187,410,206,191,1
597,329,468,148,222,1
592,318,428,98,328,1
668,280,408,148,260,1
765,214,389,213,183,1
508,350,518,83,305,1
503,358,486,83,334,1
671,220,424,199,250,1
277,401,591,51,444,1
244,457,628,39,396,1
304,431,607,47,375,1
636,315,424,118,271,1
689,286,406,154,229,1
614,317,437,80,316,1
774,205,335,178,272,1
811,281,289,129,254,1
771,210,405,134,244,1
783,218,385,158,220,1
579,342,401,113,329,1
625,358,422,109,250,1
434,390,534,74,332,1
753,194,402,205,210,1
586,304,493,132,249,1
512,436,468,60,288,1
871,194,322,208,169,1
797,236,351,109,271,1
1015,167,256,188,138,1
520,287,448,101,408,1
414,372,522,100,356,1
419,311,563,122,349,1
445,392,514,81,332,1
539,298,476,152,299,1
976,173,291,173,151,1
646,282,447,164,225,1
410,366,546,77,365,1
678,259,428,137,262,1
806,264,344,165,185,1
362,352,535,58,457,1
719,258,386,171,230,1
819,184,391,171,199,1
835,246,344,141,198,1
384,357,563,84,376,1
513,412,484,87,268,1
409,413,533,59,350,1
626,358,429,96,255,1
726,259,373,148,258,1
653,341,373,132,265,1
270,432,582,23,457,1
556,369,491,72,276,1
215,450,621,34,444,1
715,260,430,137,222,1
388,372,513,81,410,1
988,120,256,256,144,1
596,359,476,90,243,1
588,332,482,112,250,1
755,266,379,155,209,1
648,253,446,129,288,1
390,355,527,80,412,1
1061,144,266,196,97,1
664,198,439,193,270,1
321,362,484,59,538,1
631,316,414,132,271,1
587,285,414,118,360,1
848,219,304,202,191,1
675,252,412,190,235,1
338,406,547,57,416,1
563,291,492,144,274,1
553,356,496,101,258,1
818,192,359,194,201,1
493,332,516,102,321,1
691,224,425,189,235,1
261,421,613,43,426,1
764,240,322,146,292,1
669,295,404,136,260,1
431,410,490,75,358,1
521,300,495,137,311,1
518,325,500,128,293,1
712,293,393,129,237,1
642,249,448,162,263,1
813,142,342,235,232,1
874,175,317,240,158,1
531,389,466,74,304,1
635,328,454,121,226,1
457,294,576,121,316,1
707,205,396,168,288,1
507,365,469,99,324,1
477,336,497,102,352,1
693,354,385,120,212,1
709,315,376,150,214,1
615,309,449,141,250,1
558,301,486,109,310,1
711,309,387,118,239,1
576,261,521,162,244,1
564,308,482,96,314,1
867,184,311,233,169,1
867,209,315,218,155,1
655,320,397,125,267,1
709,262,400,161,232,1
711,349,366,79,259,1
579,309,462,131,283,1
337,444,486,35,462,1
430,349,552,89,344,1
549,354,479,103,279,1
357,355,575,90,387,1
1004,75,263,299,123,1
243,428,571,17,505,1
658,281,424,113,288,1
603,314,452,109,286,1
237,459,607,40,421,1
575,435,436,66,252,1
365,367,569,86,377,1
585,281,431,150,317,1
940,149,270,256,149,1
578,356,465,90,275,1
410,367,529,97,361,1
536,366,485,93,284,1
614,323,462,131,234,1
641,234,456,140,293,1
567,430,408,61,298,1
542,288,509,140,285,1
686,300,401,152,225,1
904,153,294,218,195,1
401,459,505,40,359,1
868,227,302,212,155,1
677,237,467,116,267,1
624,272,461,137,270,1
797,301,342,165,159,1
674,391,379,81,239,1
579,335,450,100,300,1
326,409,567,48,414,1
424,305,540,122,373,1
465,345,519,98,337,1
388,355,560,108,353,1
474,395,505,87,303,1
536,314,491,122,301,1
368,352,590,74,380,1
841,276,333,125,189,1
810,227,350,193,184,1
475,353,521,100,315,1
606,256,469,165,268,1
563,270,505,132,294,1
585,363,414,112,290,1
763,238,374,161,228,1
476,395,506,67,320,1
425,387,549,70,333,1
521,327,513,106,297,1
636,302,460,136,230,1
563,334,446,125,296,1
653,304,398,130,279,1
908,167,309,266,114,1
657,227,480,189,211,1
858,167,371,164,204,1
694,279,426,155,210,1
613,286,452,160,253,1
346,417,592,59,350,1
845,202,338,205,174,1
852,173,313,203,223,1
546,297,408,118,395,1
564,326,458,111,305,1
357,396,560,72,379,1
721,281,406,134,222,1
528,315,462,120,339,1
418,357,553,99,337,1
700,305,386,122,251,1
249,370,604,55,486,1
550,320,467,119,308,1
704,257,396,163,244,1
558,400,451,64,291,1
734,246,425,123,236,1
947,175,289,190,163,1
647,419,420,84,194,1
458,321,536,120,329,1
197,394,622,34,517,1
